user_id,item_id,rating,timestamp
714,748,5,892777877
114,56,3,881260545
871,331,3,888192202
590,282,2,879439374
284,315,5,885329593
399,774,3,882345053
563,254,3,880506963
43,275,4,875975546
243,246,4,879987085
296,45,5,884197419
500,535,3,890010025
872,1284,3,888479434
10,276,4,877891904
543,656,4,875665787
16,469,3,877720916
531,245,4,887049049
643,12,5,891446720
737,187,5,884315175
297,129,4,874954353
301,91,3,882078906
279,919,3,892864663
796,38,5,893048505
378,110,3,880333027
787,331,3,888979235
622,396,1,882671222
805,271,3,880055033
751,111,3,889132657
99,332,3,885678348
374,846,2,883627509
592,1142,5,882608145
160,93,5,876767572
591,921,4,891031257
883,127,5,891717319
882,405,4,879861939
457,709,5,882547856
389,29,2,880088659
315,17,1,879821003
303,302,4,879465986
439,276,5,882892755
58,512,3,890770101
691,322,3,875542976
479,133,2,879461970
174,433,5,886514757
300,300,4,875649995
498,172,3,881956362
207,591,3,876018608
14,455,4,880929745
115,82,4,881172117
846,1029,1,883950859
372,7,3,876869387
727,1615,1,883709884
632,566,4,879458649
823,77,4,878438958
894,278,4,880416419
267,31,4,878972119
900,493,2,877833603
246,993,3,884920770
1,206,4,876893205
195,154,3,888737525
747,202,4,888733047
327,845,3,887818957
207,660,4,877847100
349,121,2,879465712
14,820,3,882839856
780,183,2,891363860
64,655,4,889739243
655,176,2,887429999
458,318,4,886397771
254,151,2,886474396
777,117,5,875979380
712,49,3,874956872
7,590,2,891354730
699,252,4,879148050
416,685,3,876697955
292,194,4,881105442
239,513,5,889178887
393,1058,4,887746916
430,328,4,877225327
592,250,4,882608145
76,772,3,875498117
608,23,5,880403239
313,142,3,891030261
538,174,4,877106619
128,729,2,879968447
653,693,1,880151651
372,1212,4,876869932
286,298,4,875807004
91,427,4,891439057
215,99,4,891435731
116,286,3,876451911
344,246,4,889814518
751,1,3,889132162
370,285,3,879435193
487,809,2,884050192
255,841,1,883216902
618,713,4,891307224
334,606,5,891545793
916,89,5,880844241
615,23,5,879448547
500,9,4,883865042
222,186,5,878184195
472,375,5,875982680
378,742,4,880044697
766,739,2,891310241
600,195,4,888451492
381,526,4,892696831
354,419,4,891217755
768,173,5,883835053
6,137,5,883599327
446,359,3,879787226
340,199,5,884990988
500,472,3,883865374
894,286,5,879896756
178,625,3,884837073
90,313,5,891382163
886,150,4,876031656
274,294,3,878944379
76,223,2,882606623
815,871,1,878693073
722,130,4,891281679
311,378,5,884366363
800,118,3,887646342
198,201,3,884207897
921,185,3,879380826
758,571,4,882054936
943,1067,2,875501756
389,1147,4,879991387
561,660,3,885810144
214,89,4,892668249
899,200,4,884122674
533,724,4,888347691
487,56,4,883528441
500,93,4,883865020
543,28,4,875663543
151,1113,4,879542891
334,124,5,891544680
782,1278,4,891499278
654,204,4,887864610
880,315,5,892958175
306,14,5,876503995
279,1305,4,875313406
378,8,4,880045722
631,332,3,888465180
601,172,4,876348736
413,307,2,879968794
813,9,3,883752051
59,746,5,888204642
751,143,5,889133882
447,175,3,878855847
709,265,4,879846489
405,719,1,885547447
432,100,3,889415895
536,470,5,882360530
605,121,1,879429706
693,546,1,875483234
10,697,3,877888677
181,748,1,878961368
208,208,4,883108360
60,483,5,883326497
279,29,2,879573041
85,1098,4,879828912
417,1023,4,880949479
684,248,3,878576473
423,272,5,891394503
819,268,4,884012614
666,173,4,880139253
437,1007,5,881002374
195,93,3,891762536
49,204,1,888068686
102,436,2,888803051
926,315,4,888351623
463,1028,2,877386082
504,44,4,887838846
863,301,4,889289240
241,270,3,887250026
59,618,4,888205956
356,326,4,891406193
323,479,4,878739801
324,322,4,880575163
641,497,5,879370259
293,122,3,888905399
13,839,1,882396984
588,447,3,890026009
406,1065,2,882480567
625,602,3,891263057
264,286,2,886121691
62,815,3,879375391
344,451,4,884901403
815,252,2,884267891
10,703,5,877892110
90,57,5,891385389
838,12,4,887067063
378,191,5,880046229
608,238,5,880403810
16,510,4,877727280
385,1535,4,879448294
350,479,5,882345789
405,1425,1,885547557
798,1023,3,875295772
704,173,4,891397058
5,436,5,875720717
87,1074,3,879876813
768,111,3,880136139
653,96,4,878854145
758,1039,5,881975787
365,908,3,891303638
543,53,3,877547190
